5051 PAR FOUR DR,2017-05-01 00:00:00
3401 SAINT CLAUDE AVE,2017-05-01 00:00:00
2125 CATON ST,2017-05-01 00:00:00
3727 LOUISA ST,2017-05-01 00:00:00
1825 GENTILLY BLVD,2017-05-01 00:00:00
3727 S CLAIBORNE AVE,2017-05-01 00:00:00
1036 N RAMPART ST,2017-05-01 00:00:00
1325 SAINT CHARLES AVE,2017-05-01 00:00:00
2405 PORT ST,2017-05-01 00:00:00
11110 S PARKWOOD CT,2017-05-01 00:00:00
10920 S I-10 SERVICE RD,2017-05-01 00:00:00
1406 ARTS ST,2017-05-01 00:00:00
5719 SAINT ROCH AVE,2017-05-01 00:00:00
4240 TOULOUSE ST,2017-05-01 00:00:00
5551 HOLLEY LN,2017-05-01 00:00:00
520 SAINT ANDREW ST,2017-05-01 00:00:00
3551 GENERAL MEYER AVE,2017-05-01 00:00:00
1701 FORSTALL ST,2017-05-01 00:00:00
4308 PAUGER ST,2017-05-01 00:00:00
4001 LENNOX BLVD,2017-05-01 00:00:00
6500 CARLSON DR,2017-05-01 00:00:00
5923 CONSTANCE ST,2017-05-01 00:00:00
14067 QUAIL CREEK LN,2017-05-01 00:00:00
1820 SAINT CHARLES AVE,2017-05-01 00:00:00
76 AUDUBON BLVD,2017-05-01 00:00:00
417 BOURBON ST,2017-05-01 00:00:00
611 DECATUR ST,2017-05-01 00:00:00
329 S DORGENOIS ST,2017-05-01 00:00:00
401 TCHOUPITOULAS ST,2017-05-01 00:00:00
4589 GENERAL MEYER AVE,2017-05-01 00:00:00
319 N TONTI ST,2017-05-01 00:00:00
1 POYDRAS ST,2017-05-01 00:00:00
4240 TOULOUSE ST,2017-05-01 00:00:00
1838 CHARBONNET ST,2017-05-01 00:00:00
4240 TOULOUSE ST,2017-05-01 00:00:00
5424 ELYSIAN FIELDS AVE,2017-05-01 00:00:00
3551 GENERAL MEYER AVE,2017-05-01 00:00:00
601 CANAL ST,2017-05-01 00:00:00
2131 CANAL ST,2017-05-01 00:00:00
5101 SAINT ROCH AVE,2017-05-01 00:00:00
209 26TH ST,2017-05-01 00:00:00
7822 LUCERNE ST,2017-05-01 00:00:00
3112 GENERAL TAYLOR ST,2017-05-01 00:00:00
6614 AVENUE B,2017-05-01 00:00:00
3123 MANDEVILLE ST,2017-05-01 00:00:00
4099 INDUSTRIAL PKWY,2017-05-01 00:00:00
4845 CHESTNUT ST,2017-05-01 00:00:00
1121 VALENCE ST,2017-05-01 00:00:00
4903 DANNEEL ST,2017-05-01 00:00:00
7121 READ BLVD,2017-05-01 00:00:00
1500 KABEL DR,2017-05-01 00:00:00
203 BRUNSWICK CT,2017-05-01 00:00:00
4819 WALMSLEY AVE,2017-05-01 00:00:00
8713 BELFAST ST,2017-05-01 00:00:00
3431 S CLAIBORNE AVE,2017-05-01 00:00:00
1701 FORSTALL ST,2017-05-01 00:00:00
431 TACOMA ST,2017-05-01 00:00:00
3727 BLAIR ST,2017-05-01 00:00:00
14101 KNIGHTWAY DR,2017-05-01 00:00:00
5400 DAYNA CT,2017-05-01 00:00:00
333 LOWERLINE ST,2017-05-01 00:00:00
1514 SAINT CHARLES AVE,2017-05-01 00:00:00
3601 TCHOUPITOULAS ST,2017-05-01 00:00:00
3801 GENERAL DE GAULLE DR,2017-05-01 00:00:00
3225 JOLIET ST,2017-05-01 00:00:00
2411 GOVERNOR NICHOLLS ST,2017-05-01 00:00:00
600 MARKET ST,2017-05-01 00:00:00
1460 SAINT DENIS ST,2017-05-01 00:00:00
1656 ROBERT E LEE BLVD,2017-05-01 00:00:00
7206 FLORITA CT,2017-05-01 00:00:00
8700 CHEF MENTEUR HWY,2017-05-01 00:00:00
2811 TOULOUSE ST,2017-05-02 00:00:00
4811 GENERAL MEYER AVE,2017-05-02 00:00:00
2701 N PRIEUR ST,2017-05-02 00:00:00
6003 BULLARD AVE,2017-05-02 00:00:00
2700 CONSTANCE ST,2017-05-01 00:00:00
8 S PARK PL,2017-05-01 00:00:00
9501 GRANT ST,2017-05-01 00:00:00
739 CANAL ST,2017-05-01 00:00:00
3470 LAUREL ST,2017-05-01 00:00:00
2631 CHELSEA DR,2017-05-01 00:00:00
7802 MILL ST,2017-05-01 00:00:00
5941 WRIGHT RD,2017-05-01 00:00:00
4900 LOYOLA AVE,2017-05-01 00:00:00
3200 MAGAZINE ST,2017-05-01 00:00:00
1205 N RAMPART ST,2017-05-01 00:00:00
1012 S PETERS ST,2017-05-02 00:00:00
724 IBERVILLE ST,2017-05-02 00:00:00
5422 SAINT CLAUDE AVE,2017-05-02 00:00:00
1569 ATHIS ST,2017-05-02 00:00:00
1000 LIZARDI ST,2017-05-02 00:00:00
1407 CANAL ST,2017-05-02 00:00:00
2108 SAINT BERNARD AVE,2017-05-02 00:00:00
11300 N PARKWOOD CT,2017-05-02 00:00:00
4700 LANCELOT DR,2017-05-02 00:00:00
2103 LAW ST,2017-05-02 00:00:00
3112 GENERAL TAYLOR ST,2017-05-02 00:00:00
6101 CHATHAM DR,2017-05-02 00:00:00
113 WINTHROP PL,2017-05-02 00:00:00
1460 SAINT DENIS ST,2017-05-02 00:00:00
7510 KINGSPORT BLVD,2017-05-01 00:00:00
833 CLOUET ST,2017-05-01 00:00:00
7711 W LAVERNE ST,2017-05-01 00:00:00
9024 BELFAST ST,2017-05-02 00:00:00
336 CAMP ST,2017-05-02 00:00:00
204 NEIL AVE,2017-05-02 00:00:00
2625 SAINT CHARLES AVE,2017-05-02 00:00:00
5625 ROSEMARY PL,2017-05-02 00:00:00
6506 MILNE BLVD,2017-05-02 00:00:00
7567 HORIZON CT,2017-05-02 00:00:00
6055 PERLITA ST,2017-05-02 00:00:00
28 TENNYSON PL,2017-05-02 00:00:00
419 FAIRWAY DR,2017-05-02 00:00:00
7329 COHN ST,2017-05-02 00:00:00
2240 MAGAZINE ST,2017-05-02 00:00:00
3454 MAGAZINE ST,2017-05-02 00:00:00
4851 GABRIEL DR,2017-05-02 00:00:00
3112 GENERAL TAYLOR ST,2017-05-03 00:00:00
3112 GENERAL TAYLOR ST,2017-05-03 00:00:00
2634 CUPID ST,2017-05-03 00:00:00
1935 LAMANCHE ST,2017-05-03 00:00:00
625 CHARTRES ST,2017-05-03 00:00:00
1922 S SALCEDO ST,2017-05-03 00:00:00
2023 ADAMS ST,2017-05-03 00:00:00
6862 ORLEANS AVE,2017-05-03 00:00:00
1201 S DERBIGNY ST,2017-05-01 00:00:00
7713 HANEY DR,2017-05-01 00:00:00
2418 LOUISIANA AVE,2017-05-02 00:00:00
3200 MAGAZINE ST,2017-05-02 00:00:00
600 MARKET ST,2017-05-02 00:00:00
7551 DUNE DR,2017-05-03 00:00:00
4929 ROBIN HOOD DR,2017-05-03 00:00:00
